,#,filename,line,size
0,1,atlas/atlas-prototype/src/tainting.py,200,276606.6 KiB
1,2,atlas/atlas-prototype/src/cfgexploration.py,183,45485.8 KiB
2,3,atlas/atlas-prototype/src/cfgexploration.py,214,35102.8 KiB
3,4,site-packages/claripy/algorithm/replace.py,75,3827.5 KiB
4,5,claripy/frontend/mixin/constraint_deduplicator_mixin.py,19,3704.3 KiB
5,6,memory_mixins/paged_memory/pages/ultra_page.py,53,3686.6 KiB
6,7,memory_mixins/paged_memory/pages/ultra_page.py,52,3686.6 KiB
7,8,site-packages/claripy/ast/base.py,179,3573.7 KiB
8,9,site-packages/claripy/ast/base.py,199,2950.4 KiB
9,10,site-packages/claripy/ast/base.py,198,2950.4 KiB
10,11,site-packages/claripy/ast/base.py,177,2930.9 KiB
11,12,site-packages/claripy/ast/base.py,206,2389.0 KiB
12,13,python3.13/site-packages/sortedcontainers/sorteddict.py,559,2291.4 KiB
13,14,cpython@3.13.2/lib/python3.13/weakref.py,105,2032.4 KiB
14,15,cpython@3.13.2/lib/python3.13/weakref.py,348,1957.4 KiB
15,16,atlas/atlas-prototype/src/tainting.py,282,1888.1 KiB
16,17,cpython@3.13.2/lib/python3.13/weakref.py,167,1584.4 KiB
17,18,python3.13/site-packages/z3/z3core.py,1885,1515.6 KiB
18,19,cpython@3.13.2/lib/python3.13/weakref.py,117,1479.7 KiB
19,20,site-packages/claripy/ast/base.py,385,1457.1 KiB
20,21,site-packages/claripy/backends/backend.py,218,1280.0 KiB
21,22,site-packages/claripy/frontend/full_frontend.py,43,1185.3 KiB
22,23,python3.13/site-packages/cachetools/__init__.py,282,1154.0 KiB
23,24,python3.13/site-packages/z3/z3.py,1034,1042.7 KiB
24,25,python3.13/site-packages/z3/z3core.py,3049,940.4 KiB
25,26,python3.13/site-packages/z3/z3core.py,1890,747.9 KiB
26,27,python3.13/site-packages/z3/z3core.py,1925,725.5 KiB
27,28,claripy/frontend/mixin/model_cache_mixin.py,266,689.2 KiB
28,29,python3.13/site-packages/z3/z3core.py,1920,626.1 KiB
29,30,site-packages/claripy/ast/base.py,194,623.3 KiB
30,31,site-packages/claripy/ast/base.py,193,623.3 KiB
31,32,python3.13/site-packages/cachetools/__init__.py,82,580.5 KiB
32,33,site-packages/claripy/backends/backend_z3.py,628,546.9 KiB
33,34,memory_mixins/paged_memory/pages/ultra_page.py,35,543.5 KiB
34,35,memory_mixins/paged_memory/pages/ultra_page.py,31,543.5 KiB
35,36,python3.13/site-packages/z3/z3.py,1056,514.2 KiB
36,37,python3.13/site-packages/sortedcontainers/sortedlist.py,353,513.1 KiB
37,38,site-packages/claripy/backends/backend_z3.py,1026,499.3 KiB
38,39,site-packages/claripy/ast/bv.py,228,497.4 KiB
39,40,claripy/frontend/mixin/model_cache_mixin.py,140,493.1 KiB
40,41,site-packages/claripy/frontend/composite_frontend.py,56,476.2 KiB
41,42,cpython@3.13.2/lib/python3.13/weakref.py,118,438.4 KiB
42,43,claripy/frontend/mixin/model_cache_mixin.py,18,426.3 KiB
43,44,claripy/frontend/mixin/model_cache_mixin.py,17,426.3 KiB
44,45,site-packages/claripy/backends/backend_z3.py,827,425.1 KiB
45,46,claripy/frontend/mixin/model_cache_mixin.py,264,423.0 KiB
46,47,python3.13/site-packages/claripy/operations.py,54,416.9 KiB
47,48,storage/memory_mixins/paged_memory/paged_memory_mixin.py,52,413.9 KiB
48,49,site-packages/claripy/backends/backend_z3.py,1015,396.1 KiB
49,50,cpython@3.13.2/lib/python3.13/weakref.py,116,383.9 KiB
50,51,claripy/frontend/mixin/composited_cache_mixin.py,28,374.4 KiB
51,52,python3.13/site-packages/sortedcontainers/sorteddict.py,154,352.1 KiB
52,53,site-packages/claripy/frontend/frontend.py,32,344.2 KiB
53,54,python3.13/site-packages/claripy/simplifications.py,500,326.6 KiB
54,55,atlas/atlas-prototype/src/cfgexploration.py,170,316.0 KiB
