,#,filename,line,size
0,1,atlas/atlas-prototype/src/tainting.py,200,8731.1 KiB
1,2,atlas/atlas-prototype/src/cfgexploration.py,183,1901.7 KiB
2,3,site-packages/claripy/ast/base.py,179,1577.0 KiB
3,4,site-packages/claripy/ast/base.py,199,1235.0 KiB
4,5,site-packages/claripy/ast/base.py,198,1235.0 KiB
5,6,site-packages/claripy/ast/base.py,177,1174.3 KiB
6,7,site-packages/claripy/ast/base.py,206,1059.3 KiB
7,8,cpython@3.13.2/lib/python3.13/weakref.py,348,936.7 KiB
8,9,cpython@3.13.2/lib/python3.13/weakref.py,167,784.3 KiB
9,10,site-packages/claripy/ast/base.py,385,635.7 KiB
10,11,python3.13/site-packages/cachetools/__init__.py,282,604.7 KiB
11,12,atlas/atlas-prototype/src/cfgexploration.py,214,585.0 KiB
12,13,site-packages/claripy/backends/backend.py,218,576.0 KiB
13,14,memory_mixins/paged_memory/pages/ultra_page.py,35,527.2 KiB
14,15,memory_mixins/paged_memory/pages/ultra_page.py,31,527.2 KiB
15,16,python3.13/site-packages/z3/z3core.py,1885,466.1 KiB
16,17,python3.13/site-packages/z3/z3core.py,3049,451.0 KiB
17,18,python3.13/site-packages/z3/z3core.py,1920,352.2 KiB
18,19,site-packages/claripy/ast/base.py,194,341.9 KiB
19,20,site-packages/claripy/ast/base.py,193,341.9 KiB
20,21,python3.13/site-packages/z3/z3core.py,1925,341.8 KiB
21,22,python3.13/site-packages/z3/z3.py,1034,321.2 KiB
22,23,site-packages/claripy/backends/backend_z3.py,628,313.6 KiB
23,24,memory_mixins/paged_memory/pages/ultra_page.py,53,312.3 KiB
24,25,memory_mixins/paged_memory/pages/ultra_page.py,52,312.3 KiB
25,26,cpython@3.13.2/lib/python3.13/weakref.py,105,312.2 KiB
26,27,python3.13/site-packages/cachetools/__init__.py,82,292.5 KiB
27,28,site-packages/claripy/ast/bv.py,228,281.6 KiB
28,29,python3.13/site-packages/z3/z3core.py,1890,279.9 KiB
29,30,atlas/atlas-prototype/src/main.py,52,279.4 KiB
30,31,site-packages/claripy/backends/backend_z3.py,1026,235.5 KiB
31,32,cpython@3.13.2/lib/python3.13/weakref.py,117,227.8 KiB
32,33,site-packages/claripy/backends/backend_z3.py,1015,206.4 KiB
33,34,python3.13/site-packages/sortedcontainers/sorteddict.py,559,203.2 KiB
34,35,python3.13/site-packages/z3/z3.py,1056,192.4 KiB
35,36,site-packages/claripy/frontend/full_frontend.py,43,181.4 KiB
36,37,site-packages/claripy/backends/backend_z3.py,496,177.9 KiB
37,38,site-packages/claripy/ast/base.py,355,171.9 KiB
38,39,python3.13/site-packages/z3/z3core.py,1851,159.8 KiB
39,40,python3.13/site-packages/claripy/operations.py,54,150.1 KiB
40,41,site-packages/networkx/classes/digraph.py,732,143.6 KiB
41,42,python3.13/site-packages/z3/z3core.py,2155,141.4 KiB
42,43,site-packages/claripy/algorithm/replace.py,75,136.2 KiB
43,44,python3.13/site-packages/pyvex/stmt.py,260,126.0 KiB
44,45,python3.13/site-packages/z3/z3core.py,3691,126.0 KiB
45,46,python3.13/site-packages/claripy/simplifications.py,500,121.3 KiB
46,47,site-packages/claripy/ast/base.py,352,111.7 KiB
47,48,claripy/frontend/mixin/constraint_deduplicator_mixin.py,19,110.8 KiB
48,49,site-packages/claripy/backends/backend_z3.py,387,110.5 KiB
49,50,python3.13/site-packages/z3/z3core.py,1895,108.2 KiB
50,51,python3.13/site-packages/pyvex/block.py,562,108.0 KiB
51,52,site-packages/networkx/classes/digraph.py,734,101.8 KiB
52,53,site-packages/elftools/construct/macros.py,414,100.9 KiB
53,54,site-packages/claripy/backends/backend_z3.py,1214,97.8 KiB
54,55,python3.13/site-packages/cle/memory.py,238,97.7 KiB
55,56,site-packages/elftools/construct/core.py,340,95.5 KiB
56,57,site-packages/networkx/classes/digraph.py,733,93.9 KiB
57,58,cle/backends/elf/elf.py,681,91.5 KiB
58,59,python3.13/site-packages/z3/z3core.py,3289,87.5 KiB
59,60,site-packages/claripy/backends/backend_z3.py,624,83.3 KiB
60,61,python3.13/site-packages/z3/z3core.py,2145,83.1 KiB
61,62,site-packages/claripy/ast/base.py,60,82.5 KiB
62,63,python3.13/site-packages/pyvex/expr.py,543,81.5 KiB
63,64,site-packages/networkx/classes/digraph.py,731,76.6 KiB
64,65,site-packages/claripy/backends/backend_z3.py,622,76.3 KiB
65,66,site-packages/claripy/backends/backend_z3.py,1029,74.6 KiB
66,67,site-packages/claripy/ast/bv.py,227,72.9 KiB
67,68,python3.13/site-packages/sortedcontainers/sorteddict.py,154,71.2 KiB
68,69,site-packages/claripy/ast/bv.py,223,70.5 KiB
69,70,python3.13/site-packages/pyvex/stmt.py,138,69.6 KiB
70,71,site-packages/claripy/frontend/full_frontend.py,57,69.4 KiB
71,72,site-packages/claripy/frontend/constrained_frontend.py,43,68.4 KiB
72,73,cpython@3.13.2/lib/python3.13/weakref.py,118,67.5 KiB
73,74,python3.13/site-packages/pyvex/expr.py,490,60.3 KiB
74,75,cpython@3.13.2/lib/python3.13/weakref.py,116,59.1 KiB
75,76,site-packages/claripy/algorithm/replace.py,53,58.1 KiB
76,77,python3.13/site-packages/z3/z3core.py,2060,57.5 KiB
77,78,site-packages/claripy/backends/backend_z3.py,1169,57.5 KiB
78,79,claripy/frontend/mixin/model_cache_mixin.py,266,55.9 KiB
79,80,python3.13/site-packages/z3/z3core.py,2035,54.6 KiB
80,81,site-packages/claripy/frontend/frontend.py,32,50.9 KiB
81,82,python3.13/site-packages/pyvex/block.py,682,49.9 KiB
82,83,angr/analyses/cfg/cfg_fast.py,4686,49.9 KiB
83,84,site-packages/claripy/ast/base.py,171,46.7 KiB
84,85,claripy/frontend/mixin/model_cache_mixin.py,140,46.0 KiB
85,86,site-packages/pycparser/ply/yacc.py,1993,45.4 KiB
86,87,site-packages/claripy/frontend/constrained_frontend.py,32,45.4 KiB
87,88,python3.13/site-packages/pyvex/stmt.py,190,44.6 KiB
88,89,<frozen abc>,123,43.6 KiB
89,90,python3.13/site-packages/pyvex/block.py,551,43.1 KiB
90,91,python3.13/site-packages/sortedcontainers/sortedlist.py,353,40.9 KiB
91,92,site-packages/networkx/classes/digraph.py,483,39.7 KiB
92,93,site-packages/networkx/classes/digraph.py,482,39.7 KiB
93,94,site-packages/networkx/classes/digraph.py,481,39.7 KiB
94,95,python3.13/site-packages/z3/z3.py,3569,39.5 KiB
95,96,python3.13/site-packages/pyvex/expr.py,488,38.5 KiB
96,97,site-packages/angr/state_plugins/solver.py,732,38.4 KiB
97,98,python3.13/site-packages/z3/z3.py,3684,37.6 KiB
98,99,python3.13/site-packages/pyvex/expr.py,647,36.6 KiB
